index,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_EDUCATION_TYPE,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE_Revolving loans,FLAG_OWN_CAR_No,FLAG_OWN_CAR_Yes,FLAG_OWN_REALTY_No,FLAG_OWN_REALTY_Yes,NAME_EDUCATION_TYPE_Academic degree,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special
71340,182733,1,Cash loans,Y,Y,0,112500.0,772686.0,25056.0,553500.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
168629,295465,1,Cash loans,N,N,0,37273.5,168102.0,17352.0,148500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
54293,162901,1,Cash loans,N,Y,1,112500.0,781695.0,30420.0,652500.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
96352,211857,1,Cash loans,Y,Y,0,180000.0,677664.0,34731.0,585000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
242494,380704,1,Cash loans,N,Y,0,135000.0,450000.0,20979.0,450000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
219125,353849,1,Cash loans,N,Y,0,126000.0,1178217.0,34578.0,922500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
264708,406541,1,Revolving loans,N,N,1,90000.0,270000.0,13500.0,270000.0,Secondary / secondary special,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
283718,428575,1,Cash loans,Y,Y,0,202500.0,1288350.0,37800.0,1125000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
71821,183280,1,Cash loans,N,Y,0,180000.0,314055.0,19215.0,238500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
205575,338291,1,Cash loans,N,N,0,36000.0,1223010.0,48627.0,1125000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
209892,343242,1,Cash loans,N,N,0,67500.0,253737.0,16650.0,229500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
243076,381375,1,Cash loans,N,N,0,270000.0,306000.0,18621.0,306000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
247859,386781,1,Cash loans,N,Y,0,90000.0,448299.0,27373.5,387000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
36799,142620,1,Cash loans,N,N,0,117000.0,254700.0,17149.5,225000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
44081,151059,1,Cash loans,Y,Y,1,225000.0,518463.0,24300.0,364500.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
282798,427539,1,Cash loans,Y,Y,0,294300.0,790830.0,62613.0,675000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
216999,351435,1,Cash loans,N,Y,0,157500.0,47970.0,5823.0,45000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
86020,199814,1,Cash loans,N,N,0,81180.0,405000.0,15556.5,405000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24594,128613,1,Cash loans,N,Y,0,135000.0,188460.0,8428.5,135000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
99455,215466,1,Cash loans,Y,Y,1,103500.0,469152.0,31864.5,405000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
88751,203045,1,Cash loans,N,Y,0,180000.0,288000.0,9171.0,288000.0,Lower secondary,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
84837,198430,1,Cash loans,N,Y,0,180000.0,276277.5,21955.5,238500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5750,106723,1,Cash loans,N,Y,0,180000.0,332946.0,17127.0,238500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
240828,378863,1,Cash loans,Y,Y,0,270000.0,675000.0,24930.0,675000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
150618,274604,1,Cash loans,Y,N,0,225000.0,760131.0,21915.0,634500.0,Secondary / secondary special,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
56639,165638,1,Cash loans,N,N,0,405000.0,1305000.0,38155.5,1305000.0,Higher education,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
297054,444156,1,Cash loans,Y,Y,0,315000.0,685386.0,54279.0,585000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
276002,419856,1,Cash loans,N,Y,0,220500.0,1021500.0,29992.5,1021500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
192466,323186,1,Cash loans,N,Y,0,135000.0,450000.0,21109.5,450000.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
47794,155356,1,Cash loans,N,Y,0,225000.0,473760.0,45112.5,450000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
189575,319804,1,Cash loans,N,Y,0,180000.0,450000.0,35554.5,450000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13108,115275,1,Cash loans,N,Y,0,180000.0,948816.0,27873.0,792000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
298277,445558,1,Cash loans,N,Y,0,126000.0,270000.0,30667.5,270000.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
159792,285233,1,Cash loans,Y,N,1,360000.0,1984500.0,52479.0,1984500.0,Higher education,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
56091,164999,1,Revolving loans,N,Y,0,189000.0,225000.0,11250.0,225000.0,Secondary / secondary special,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
139142,261334,1,Cash loans,N,N,0,67500.0,252531.0,20245.5,234000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
248077,387044,1,Cash loans,N,Y,0,247500.0,933093.0,36445.5,805500.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
248557,387571,1,Cash loans,N,Y,1,135000.0,99045.0,11884.5,85500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
126010,246121,1,Cash loans,N,N,0,202500.0,1078200.0,29781.0,900000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60098,169686,1,Cash loans,Y,Y,0,157500.0,755190.0,36459.0,675000.0,Higher education,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
16912,119724,1,Cash loans,N,Y,1,58500.0,188685.0,14944.5,157500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
240869,378905,1,Cash loans,N,Y,0,157500.0,454500.0,24340.5,454500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
240548,378579,1,Cash loans,N,N,0,76500.0,418500.0,30451.5,418500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
82896,196144,1,Cash loans,Y,Y,0,112500.0,370107.0,22495.5,319500.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
178359,306681,1,Revolving loans,N,N,0,144000.0,180000.0,9000.0,180000.0,Secondary / secondary special,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40260,146638,1,Cash loans,N,Y,0,360000.0,1125000.0,30298.5,1125000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
212058,345737,1,Cash loans,N,N,0,126000.0,990432.0,33849.0,855000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
267404,409810,1,Cash loans,N,Y,0,121500.0,292500.0,23238.0,292500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
244504,383000,1,Cash loans,Y,Y,2,135000.0,760225.5,38947.5,679500.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2899,103381,1,Cash loans,N,Y,0,292500.0,501435.0,23373.0,414000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
77123,189427,1,Cash loans,N,Y,0,202500.0,969579.0,51655.5,837000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6443,107512,1,Revolving loans,N,Y,0,292500.0,585000.0,29250.0,585000.0,Higher education,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
224432,359942,1,Cash loans,Y,N,2,306000.0,1024290.0,27148.5,855000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
177508,305704,1,Cash loans,N,N,2,121500.0,900000.0,31887.0,900000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41073,147565,1,Cash loans,N,Y,1,67500.0,621346.5,22446.0,513000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
228246,364375,1,Cash loans,N,Y,0,67500.0,284400.0,17527.5,225000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
78702,191234,1,Cash loans,N,Y,1,180000.0,528633.0,27121.5,472500.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
148766,272484,1,Cash loans,N,Y,1,126000.0,251280.0,17127.0,180000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
55525,164342,1,Revolving loans,N,Y,1,67500.0,180000.0,9000.0,180000.0,Secondary / secondary special,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
160007,285488,1,Cash loans,N,Y,0,157500.0,473760.0,51151.5,450000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
193105,323931,1,Cash loans,N,Y,0,85500.0,343800.0,16155.0,225000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
214490,348543,1,Cash loans,N,Y,1,67500.0,343800.0,16852.5,225000.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
24212,128159,1,Cash loans,Y,Y,0,203850.0,355536.0,19417.5,270000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
76173,188341,1,Cash loans,Y,N,0,112500.0,269550.0,14112.0,225000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
260212,401135,1,Revolving loans,Y,N,0,157500.0,225000.0,11250.0,225000.0,Secondary / secondary special,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
116745,235383,1,Cash loans,N,Y,1,90000.0,208512.0,23710.5,180000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
93171,208191,1,Cash loans,N,Y,0,202500.0,387144.0,26001.0,342000.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
97092,212707,1,Cash loans,N,Y,0,252000.0,538704.0,23728.5,481500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
156432,281327,1,Cash loans,N,Y,0,180000.0,341280.0,24961.5,270000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
112383,230366,1,Cash loans,Y,N,0,225000.0,225000.0,24232.5,225000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
238873,376705,1,Cash loans,Y,Y,0,180000.0,295168.5,15201.0,238500.0,Higher education,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
145414,268617,1,Cash loans,N,N,0,157500.0,250213.5,20191.5,216000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
102593,219096,1,Cash loans,Y,Y,0,405000.0,640080.0,29970.0,450000.0,Higher education,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
203183,335555,1,Cash loans,N,Y,2,99000.0,539590.5,26244.0,445500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
46500,153865,1,Cash loans,Y,Y,3,225000.0,276277.5,21825.0,238500.0,Higher education,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
242289,380492,1,Cash loans,N,Y,0,54000.0,284400.0,10719.0,225000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
157696,282792,1,Cash loans,N,N,0,292500.0,450000.0,35554.5,450000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
131420,252419,1,Cash loans,N,Y,0,112500.0,693301.5,37741.5,598500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
116028,234551,1,Cash loans,N,N,2,180000.0,1352488.5,44829.0,1107000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
209757,343093,1,Cash loans,N,Y,0,157500.0,320922.0,33826.5,283500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
188217,318204,1,Cash loans,N,Y,0,121500.0,689742.0,29223.0,616500.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
248809,387841,1,Cash loans,Y,Y,0,90000.0,1762110.0,46480.5,1575000.0,Higher education,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
220805,355790,1,Revolving loans,N,Y,0,112500.0,135000.0,6750.0,135000.0,Secondary / secondary special,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
194364,325376,1,Cash loans,Y,N,3,81000.0,545040.0,25407.0,450000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
290126,436114,1,Cash loans,N,N,1,135000.0,1125000.0,62950.5,1125000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
161462,287179,1,Cash loans,Y,Y,0,81000.0,269550.0,13909.5,225000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
223983,359425,1,Cash loans,Y,N,1,67500.0,208854.0,22288.5,184500.0,Secondary / secondary special,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
194647,325696,1,Cash loans,N,Y,0,103500.0,1288350.0,37669.5,1125000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
286731,432098,1,Revolving loans,Y,Y,0,270000.0,270000.0,13500.0,270000.0,Higher education,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
39073,145253,1,Cash loans,N,Y,0,585000.0,740704.5,34452.0,598500.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7573,108833,1,Cash loans,N,N,0,103500.0,225000.0,12577.5,225000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
57991,167221,1,Cash loans,Y,N,0,175500.0,355500.0,9774.0,355500.0,Incomplete higher,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
56116,165025,1,Cash loans,Y,N,3,157500.0,521280.0,31630.5,450000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
100862,217106,1,Cash loans,Y,Y,0,256500.0,1324422.0,38853.0,1156500.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
76778,189037,1,Cash loans,N,N,0,27000.0,225000.0,8482.5,225000.0,Secondary / secondary special,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
108397,225738,1,Cash loans,Y,Y,0,112500.0,755190.0,41098.5,675000.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
63615,173772,1,Cash loans,Y,Y,0,148500.0,180000.0,16506.0,180000.0,Higher education,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
280641,425117,1,Cash loans,Y,Y,0,99000.0,233208.0,18553.5,184500.0,Secondary / secondary special,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
153149,277515,1,Cash loans,N,Y,1,247500.0,835380.0,40320.0,675000.0,Higher education,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
